doi;title;date;keywords
10.1002/dvdy.520;Axolotl: A Resourceful Vertebrate Model for Regeneration and Beyond.;20220730;[]
10.1186/s13005-022-00331-4;Puricelli biconvex arthroplasty as an alternative for temporomandibular joint;20220729;['Ambystoma mexicanum', 'aging', 'cancer', 'immune system', 'regenerative medicine', 'transgenesis']
10.1007/s00417-022-05770-y;Treat and extend regimen for diabetic macular oedema-a systematic review and;20220729;['Biomaterials', 'Long-term follow-up', 'PMMA', 'Prostheses', 'Puricelli biconvex arthroplasty', 'TMJ ankylosis', 'Temporomandibular joint reconstruction']
10.1038/s41598-022-17371-0;Collagen-depletion strategies in dentin as alternatives to the hybrid layer;20220729;['Aflibercept', 'Bevacizumab', 'Diabetic macular oedema', 'Meta-analysis', 'Ranibizumab', 'Systematic review', 'Treat and extend']
10.1016/j.anl.2022.06.006;The association of food intake on the development of hearing impairment after;20220729;[]
10.1124/jpet.121.000467;Cyclosporine A Downregulates Selenoprotein P Expression via a Signal Transducer;20220729;['Beverage', 'Food', 'Hearing impairment', 'Mushroom']
10.1016/j.mad.2022.111712;Characteristics of geriatric rehabilitation inpatients based on their frailty;20220729;[]
10.1242/dev.200712;Time to go: neural crest cell epithelial-to-mesenchymal transition.;20220729;['Frailty', 'Geriatric assessment', 'Older people', 'Rehabilitation', 'Subacute care']
10.3389/froh.2022.971191;Editorial: Cellular Mechanisms of Aging and Longevity in Oral Health and Disease.;20220729;['Cadherins', 'EMT', 'Morphogens', 'Neural crest', 'Post-translational modifications', 'Transcription factors']
10.3389/fpubh.2022.860974;Role of the Social Support and Health Status in Living Arrangement Preference of;20220729;"['Alzheimer&#x27;s disease', 'inflammaging', 'microbiome', 'periodontitis', 'senescence']"
10.3389/fphys.2022.872562;Potential Roles of PTEN on Longevity in Two Closely Related Argopecten Scallops;20220729;['CLHLS', 'elderly', 'factors', 'health status', 'living arrangement preference', 'social support']
10.1186/s12877-022-03295-x;Interpretable classifiers for prediction of disability trajectories using a;20220728;['Argopecten scallops', 'PI3K/Akt/FoxO', 'PTEN', 'bivalve', 'genomic stability', 'nutrition restriction']
10.1016/j.mcn.2022.103760;The AICD fragment of APP initiates a FoxO3a mediated response via FANCD2.;20220728;['ADL limitations', 'Explanations', 'Functional disability', 'Machine learning', 'Trajectories']
10.1016/j.jconrel.2022.07.028;Nanobionics: From plant empowering to the infectious disease treatment.;20220728;['Amyloid', 'BIM', 'FANCD2', 'FoxO3a', 'Neurodegeneration']
10.1007/s11357-022-00633-0;"GH deficiency confers protective advantages against Alzheimer&#x27;s disease through";20220728;['Infectious disease', 'Nanobionics', 'Nanotechnology']
10.1017/S0007485322000281;Potential demographic impact of the insecticide mixture between thiacloprid and;20220728;['Alzheimer’s disease (AD)', 'Ames dwarf mice', 'Longevity', 'MicroRNAs']
10.1111/hsc.13947;Socioeconomic determinants for diagnosed non-communicable diseases among older;20220728;['Ecotoxicology', 'insecticide mixture', 'life table', 'natural enemy']
10.3389/fragi.2022.899744;Auxin-Inducible Degron System Reveals Temporal-Spatial Roles of HSF-1 and Its;20220729;['China', 'doctor-diagnosed chronic diseases', 'non-communicable disease', 'older people', 'socioeconomic status', 'urbanisation ratio']
10.3389/fphys.2022.895322;Nano-Messengers of the Heart: Promising Theranostic Candidates for Cardiovascular;20220729;['aging', 'auxin-inducible degron', 'core chaperome', 'heat shock factor', 'lifespan', 'proteostasis', 'temporal-spatial function']
10.1002/ece3.9126;Inter- and intraspecific variation in mycotoxin tolerance: A study of four;20220729;['biomarker', 'biomimetic', 'myocardial repair', 'stem cell exosomes', 'therapeutic delivery']
10.1001/jamanetworkopen.2022.23942;Association of Continuous Glucose Monitoring Use and Hemoglobin A1c Levels Across;20220729;['geographical variation', 'interspecific genetic variation', 'intraspecific genetic variation', 'mycotoxin tolerance']
10.1001/jamanetworkopen.2022.23285;Analysis of Epigenetic Age Acceleration and Healthy Longevity Among Older US;20220729;['Blood Glucose', 'Blood Glucose Self-Monitoring', '*Diabetes Mellitus, Type 1', 'Glycated Hemoglobin A/analysis', 'Humans', 'Longevity']
10.1590/1519-6984.257991;Effect of a short-cycle apple tree cultivar on oriental fruit moth (Lepidoptera:;20220728;['Acceleration', 'Aged', 'Aged, 80 and over', '*Aging/genetics', 'Cohort Studies', 'Epigenesis, Genetic', 'Female', 'Humans', '*Longevity/genetics']
10.3390/vaccines10081186;Anti-TNFα Treatment Impairs Long-Term Immune Responses to COVID-19 mRNA Vaccine;20220729;['Animals', 'Diet', 'Female', 'Fruit', 'Larva', '*Malus', '*Moths']
10.3390/jcdd9080233;Causal Associations between Paternal Longevity and Risks of Cardiovascular;20220729;['AD  - Division of Gastroenterology, Rabin Medical Center, Petah Tikva 4941492, Israel.', 'COVID-19', 'anti-SARS-CoV-2 antibodies', 'circulating B cells', 'cross-reactivity', 'mRNA-BNT162b2', 'serologic response longevity', 'vaccine']
10.3390/insects13080663;Sex Pheromone of Cocoa Pod Borer, Conopomorpha cramerella: Field Activity;20220729;['Mendelian randomization', 'cardiovascular diseases', 'coronary heart disease', 'paternal longevity', 'peripheral artery disease']
10.3390/gels8080460;Advances in 3D Gel Printing for Enzyme Immobilization.;20220729;['cocoa pod borer', 'dose-response', 'field evaluation', 'longevity', 'pheromone lure formulation']
10.3390/cells11152291;The Functional Role of Long Non-Coding RNA in Myogenesis and Skeletal Muscle;20220729;['3D printing', 'biocatalysis', 'biosensing', 'enzyme', 'hydrogel', 'immobilization']
10.3390/v14071348;Grapevine Leafroll-Associated Virus 3 Genotype Influences Foliar Symptom;20220728;['Humans', 'Muscle Development/genetics', 'Muscle, Skeletal/metabolism', 'Muscular Atrophy/genetics/metabolism', '*Muscular Diseases/genetics', '*RNA, Long Noncoding/genetics/metabolism', 'Myoparr', 'cachexia', 'long non-coding RNA', 'sarcopenia', 'skeletal muscle atrophy']
10.3390/ph15070819;Bioactive Peptides and Exercise Modulate the AMPK/SIRT1/PGC-1α/FOXO3 Pathway as a;20220727;['Closteroviridae', 'Farms', 'Genotype', 'New Zealand', 'Plant Diseases', '*Vitis', 'grapevine leafroll disease', 'grapevine leafroll-associated virus 3', 'host–virus interaction', 'visual symptoms identification']
10.3390/nu14142923;Neuroprotective Role of Lactoferrin during Early Brain Development and Injury;20220728;['AMPK', 'bioactive peptide', 'exercise', 'hypertension', 'mitochondrial biogenesis']
10.3390/molecules27144396;Antiaging Mechanism of Natural Compounds: Effects on Autophagy and Oxidative;20220728;"['Adult', 'Brain/metabolism', '*Enterocolitis, Necrotizing/prevention &amp; control', 'Female', 'Humans', 'Infant, Newborn', '*Infant, Newborn, Diseases', 'Infant, Premature', 'Lactoferrin/metabolism/pharmacology', 'Longevity', 'Milk, Human/metabolism', 'Pregnancy', '*Premature Birth', 'brain development', 'lactoferrin', 'neurodegenerative diseases', 'neuroprotection', 'prematurity']"
10.3390/medicina58070860;New Perspectives in Therapeutic Vaccines for HPV: A Critical Review.;20220728;"['Autophagy', '*Oleanolic Acid/analogs &amp; derivatives', 'Oxidative Stress', 'Reactive Oxygen Species/metabolism', 'CAPE', 'CDDO derivatives', 'aging', 'autophagy', 'guggulsterone', 'oxidative stress', 'resveratrol', 'sulforaphane', 'xanthohumol']"
10.3390/ijms23147602;Ubiquitin Ligases in Longevity and Aging Skeletal Muscle.;20220728;"['Female', 'Humans', 'Male', 'Papillomaviridae', '*Papillomavirus Infections/prevention &amp; control', '*Papillomavirus Vaccines/therapeutic use', '*Uterine Cervical Neoplasms/prevention &amp; control', 'Vaccination', 'CIN', 'Human Papillomavirus', 'therapeutic vaccine']"
10.3390/ijms23147526;High Concentrations of Genistein Decrease Cell Viability Depending on Oxidative;20220728;['*Longevity', 'Muscle, Skeletal/metabolism', 'Proteasome Endopeptidase Complex/metabolism', 'Quality of Life', '*Ubiquitin/metabolism', 'Ubiquitin-Protein Ligases/metabolism', 'E3 ubiquitin ligase', 'healthspan', 'protein degradation', 'proteostasis', 'sarcopenia']
10.3390/ijms23147491;Effects of Different Types of Chronic Training on Bioenergetic Profile and;20220728;['Apoptosis', 'Cell Survival', '*Colonic Neoplasms/pathology', '*Genistein/pharmacology', 'HT29 Cells', 'Humans', 'Hydrogen Peroxide', 'Inflammation', 'NF-kappa B/metabolism', 'Oxidative Stress', 'cell viability', 'colorectal cancer', 'genistein', 'hydrogen peroxide production', 'inflammation', 'mitochondrial biogenesis']
10.3390/insects13070588;The Effect of Supplementary Feeding with Different Pollens in Autumn on Colony;20220727;['Energy Metabolism', 'Humans', '*Hydrogen Peroxide/metabolism/pharmacology', 'Muscle, Skeletal/metabolism', '*Myoblasts/metabolism', 'Oxidative Stress', 'Reactive Oxygen Species/metabolism', 'exercise', 'human myoblast LHCN-M2', 'longevity', 'metabolism', 'oxidative stress']
10.3390/ijerph19148542;Comparison of Characteristics of Definition Criteria for Respiratory;20220728;['C. creticus pollen', 'P. somniferum pollen', 'colony performance', 'honey bee', 'longevity']
10.3390/ijerph19148410;Frailty Risk Prediction Model among Older Adults: A Chinese Nation-Wide;20220728;['Aged', '*Airway Obstruction', 'Female', '*Frailty', 'Humans', 'Male', 'Peak Expiratory Flow Rate', '*Sarcopenia/diagnosis', 'Vital Capacity', 'forced vital capacity', 'peak expiratory flow rate', 'respiratory muscle strength', 'respiratory sarcopenia', 'sarcopenia']
10.3390/ijerph19148345;The Effect of the Long-Term Calcipotriol/Betamethasone Dipropionate Local Therapy;20220728;['Aged', 'China/epidemiology', 'Cross-Sectional Studies', '*Frailty/diagnosis/epidemiology', 'Humans', 'Longitudinal Studies', 'Middle Aged', 'ROC Curve', 'frailty', 'lifestyle', 'prediction model', 'risk factor', 'social support']
10.3390/biomedicines10071703;Genetic Susceptibility to Insulin Resistance and Its Association with Estimated;20220727;"['Betamethasone/analogs &amp; derivatives/pharmacology/therapeutic use', 'Calcitriol/analogs &amp; derivatives', 'Humans', '*Interleukin-17', '*Psoriasis/drug therapy', 'Recurrence', 'TRM', 'betamethasone dipropionate', 'calcipotriol', 'immune memory', 'psoriasis', 'tissue resident memory cells']"
10.3390/antiox11071317;Antioxidative Role of Hygrophila erecta (Brum. F.) Hochr. on UV-Induced;20220727;['HOMA—IR', 'Hungarian', 'Roma', 'estimated longevity', 'insulin resistance', 'optimized genetic risk score', 'single nucleotide polymorphism', 'type 2 diabetes']
10.3390/antiox11071313;Mangifera indica L. Leaves as a Potential Food Source of Phenolic Compounds with;20220727;['ECM', 'Hygrophila erecta', 'ROS', 'antioxidant', 'inflammation', 'melanin', 'photoaging']
10.3390/cells11142135;Cortical Organoids to Model Microcephaly.;20220728;['Mangifera indica L.', 'antifibrotic', 'antimicrobial', 'antioxidant', 'bioactive compound']
10.3390/biom12070921;Monoterpenes as Sirtuin-1 Activators: Therapeutic Potential in Aging and Related;20220728;['Animals', 'Humans', '*Induced Pluripotent Stem Cells', 'Mice', '*Microcephaly', 'Neurogenesis', 'Organoids', 'Reproducibility of Results', 'Golgipathies', 'brain organoids', 'induced pluripotent stem cells (iPSCs)', 'neocortex development', 'post-natal microcephaly', 'primary microcephaly']
10.1007/s10162-022-00860-4;Physiological Evidence for Delayed Age-related Hearing Loss in Two Long-lived;20220726;['Aging', 'Animals', 'Longevity', 'Mammals/metabolism', 'Mitochondria/metabolism', '*Monoterpenes/metabolism', '*Sirtuin 1/metabolism', 'Sirtuin-1', 'age-related diseases', 'aging', 'iridoids', 'monoterpenes', 'monoterpenoids', 'secoiridoids']
10.1007/s00253-022-12089-5;Gut microbiome and aging nexus and underlying mechanism.;20220726;['Aging', 'Alternative model', 'Auditory brainstem response', 'Comparative study', 'Deer mouse', 'Presbycusis']
10.1172/jci.insight.158737;Succinate dehydrogenase inversely regulates red cell distribution width and;20220726;['Aging', 'Centenarian', 'Gut microbiota', 'Longevity', 'Probiotic']
10.1007/s11914-022-00739-6;Exercise and Exercise Mimetics for the Treatment of Musculoskeletal Disorders.;20220726;['Hematology', 'Hypoxia', 'Mitochondria', 'Pulmonology']
10.1111/jfb.15176;"The first record of burrowing goby Trypauchen vagina (Bloch &amp; Schneider, 1801)";20220726;['Exercise', 'Exercise mimetics', 'Frailty', 'Musculoskeletal disorders', 'Tissue cross-talk']
10.3389/fonc.2022.844790;Diffusion Breast MRI: Current Standard and Emerging Techniques.;20220727;['Maranhão', 'ballast water', 'invasion', 'worm-goby']
10.3389/fnut.2022.955101;Effects of Variability in Glycemic Indices on Longevity in Chinese Centenarians.;20220727;['breast cancer', 'diagnostic breast imaging', 'diffusion tensor (DT) MRI', 'diffusion weighted (DW) breast MRI', 'imaging biomarker', 'non-gaussian diffusion', 'radiomics', 'restriction spectrum imaging']
10.1038/s41568-022-00491-0;Natural killer cells in antitumour adoptive cell immunotherapy.;20220729;['centenarians', 'continuous glucose monitoring', 'glucose variability', 'hypoglycemia', 'longevity']
10.1038/s41577-022-00760-x;Mitochondrial control of inflammation.;20220729;[]
10.1038/s41598-022-15976-z;Senescent endothelial cells are predisposed to SARS-CoV-2 infection and;20220729;[]
10.3168/jds.2022-22026;Re-assessing the importance of linear type traits in predicting genetic merit for;20220725;['Aged', '*COVID-19', 'Disease Susceptibility/metabolism', 'Endothelial Cells/metabolism', 'Humans', 'SARS-CoV-2', '*Thrombosis/pathology']
10.3390/bioengineering9070299;Biomechanics of Transcatheter Aortic Valve Implant.;20220729;['aging', 'conformation', 'functional', 'genetic correlations', 'longevity']
10.1021/acsinfecdis.2c00230;Investigation of Salicylanilides as Botulinum Toxin Antagonists.;20220725;['structural valve degeneration', 'surgical aortic valve replacement', 'transcatheter aortic valve implantation', 'transcatheter heart valves']
10.1177/14034948221111264;Mid-life alcohol consumption and survival to age 90 in men: The Tromsø Study;20220725;['botulinum neurotoxin', 'protonophore', 'salicylanilide', 'small molecule antagonists']
10.1177/00220345221108699;Public Valuation of Direct Restorations: A Discrete Choice Experiment.;20220725;['Alcohol', 'epidemiology', 'longevity', 'mortality']
10.1017/S0140525X2200053X;"Sex-dependent selection, ageing, and implications for &quot;staying alive&quot;.";20220726;['dental caries', 'dental economics', 'health services research', 'healthcare policy', 'operative dentistry', 'patient preference']
10.1017/S0140525X22000553;"Staying alive enhances both women&#x27;s and men&#x27;s fitness.";20220727;['*Aging', 'Female', 'Humans', '*Longevity', 'Male']
10.1017/S0140525X22000401;Sex differences in longevity are relative, not independent.;20220726;['*Biological Evolution', 'Female', 'Humans', '*Longevity', 'Male', 'Survival']
10.1017/S0140525X22000449;"An expanded &quot;staying alive&quot; theory (SAT) underplays complexity in Homo sapiens.";20220727;['Female', 'Humans', '*Longevity', 'Male', '*Sex Characteristics']
10.3389/fnagi.2022.820108;Gut Microbiota Composition and Metabolic Potential of Long-Living People in;20220726;['Animals', 'Female', '*Hominidae', 'Humans', '*Longevity', 'Male']
10.2147/IDR.S369769;Durability of SARS-CoV-2 Specific IgG Antibody Responses Following Two Doses of;20220726;['butyric acid', 'gut microbiota', 'long-living people', 'short chain fatty acid (SCFA)', 'trimethylamine (TMA)']
10.1098/rsos.211611;Quantifying the effect of human population mobility on malaria risk in the;20220726;['AstraZeneca vaccine', 'Pfizer vaccine', 'SARS-CoV-2', 'anti-spike IgG antibody', 'antibody titer']
10.3389/fimmu.2022.918636;A Human CD68 Promoter-Driven Inducible Cre-Recombinase Mouse Line Allows Specific;20220726;['asymptomatic malaria', 'connectivity', 'human movement', 'malaria', 'movement ecology']
10.3389/fped.2022.891616;A Perspective on Pediatric Respiratory Outcomes During California Wildfires Due;20220726;['Animals', 'Humans', '*Integrases/genetics', 'Macrophages/metabolism', 'Mice', 'Mice, Transgenic', '*Tamoxifen/pharmacology', 'Cre/loxP', 'LysM.', 'hCD68', 'inducible', 'macrophage', 'targeting']
10.3389/fragi.2022.861686;HSF-1: Guardian of the Proteome Through Integration of Longevity Signals to the;20220729;['Air Quality Index (AQI) efficiency', 'California wildfires', 'PM2.5 exposure', 'pediatric', 'respiratory']
10.3389/fragi.2022.935220;Longevity-Promoting Pathways and Transcription Factors Respond to and Control;20220726;['Caenorhabditis elegans (C. elegans)', 'HSF-1 = heat-shock factor-1', 'aging', 'cell stress and aging', 'genetics', 'longevity', 'proteostasis']
10.1002/hsr2.741;Effect of standardized root extract of ashwagandha (Withania somnifera) on;20220726;['FOXO transcription factors', 'NF-κB transcription factor', 'Nrf2 transcription factor', 'collagen', 'extracellular matrix', 'healthy aging', 'mTOR signaling pathway', 'matrisome']
10.1111/arcm.12709;Silver recycling in the Viking Age: Theoretical and analytical approaches.;20220727;['DISF‐M', 'aphrodisiac', 'ashwagandha', 'male sexual wellness', 'prolactin', 'testosterone']
10.3389/ijph.2022.1604242;Socioeconomic Disparities in Disability-Free Life Expectancy and Life Expectancy;20220726;['Pb isotopes', 'Viking Age', 'cupellation', 'recycling', 'silver', 'trace elements']
10.22088/cjim.13.0.155;1Menstruation: a possible independent health promoter, aging and COVID-19.;20220726;['Adult', 'Aged', 'China/epidemiology', 'Female', '*Healthy Life Expectancy', 'Humans', '*Life Expectancy', 'Male', 'Middle Aged', 'Prospective Studies', 'Socioeconomic Factors', 'disability-free life expectancy', 'economic status', 'education', 'life expectancy', 'occupation', 'older adults', 'socioeconomic disparities']
10.1186/s12929-022-00838-7;Hesperetin promotes longevity and delays aging via activation of Cisd2 in;20220729;['Aging', 'Gender', 'Menstruation', 'Therapeutic plasma exchange', 'Women']
10.1016/j.exger.2022.111896;Relationship between heat shock proteins and cellular resistance to drugs and;20220729;['Aging/genetics', 'Animals', 'Autophagy-Related Proteins', 'Hesperidin', 'Humans', '*Longevity/genetics', 'Mice', 'Mice, Knockout', '*Nerve Tissue Proteins/genetics', 'Cisd2', 'Hesperetin', 'Longevity', 'Natural aging']
10.1016/j.jdent.2022.104235;Longevity of gold restorations in posterior teeth: A retrospective study up to;20220729;['Ageing', 'Cancer', 'Drug resistance', 'HSP', 'Heat shock proteins', 'Longevity', 'Ubiquitin-proteasome system (UPS)']
10.1016/j.ajp.2022.103224;Development and validation of a nomogram for predicting mild cognitive impairment;20220729;['Clinical study', 'FDI criteria', 'Gold', 'Indirect restorations', 'Longevity']
10.1186/s12905-022-01888-7;The impact of sex on blood pressure and anthropometry trajectories from early;20220729;['Middle-aged and elderly people', 'Mild cognitive impairment (MCI)', 'Nomogram', 'Rugao']
10.1186/s12909-022-03620-3;Complex skills are required for new primary health care researchers: a training;20220729;['Adult', 'Anthropometry/methods', 'Blood Pressure/physiology', 'Body Mass Index', '*Cardiovascular Diseases/epidemiology', 'Cross-Sectional Studies', 'Female', 'Humans', '*Longevity', 'Male', 'Nigeria/epidemiology', 'Risk Factors', 'Waist Circumference', '*Age', '*Anthropometry', '*Black Africans', '*Blood pressure', '*Female sex', '*Trajectory']
10.1016/j.cger.2022.03.006;COVID-19 Vaccines in Older Adults: Challenges in Vaccine Development and Policy;20220726;['Canada', '*Curriculum', 'Humans', 'Learning', 'Primary Health Care', '*Research Personnel', 'Education/curriculum development', 'Interdisciplinary research training', 'Primary health care research training', 'Teaching research skills']
10.1093/geronb/gbac099;"Is Transition in Living Arrangements Associated with Older Adults&#x27; Life";20220722;"['Aged', '*COVID-19/epidemiology/prevention &amp; control', 'COVID-19 Vaccines', 'Humans', 'Pandemics/prevention &amp; control', 'Policy Making', 'Vaccination', 'Vaccine Development', '*Vaccines', 'COVID-19', 'Disability', 'Frailty', 'Immunosenescence', 'Vaccine']"
10.1016/j.mad.2022.111711;Age-related diseases, therapies and gut microbiome: a new frontier for healthy;20220722;[]
10.1016/j.cell.2022.06.030;Establishing a blockchain-enabled Indigenous data sovereignty framework for;20220726;['age-related diseases', 'aging', 'anti-age therapies', 'gut microbiome', 'microbiome-based therapies']
10.1073/pnas.2200073119;"The importance of elders: Extending Hamilton&#x27;s force of selection to include";20220726;['*Blockchain', 'Computer Security', 'Genomics', 'Technology', 'blockchain', 'distributed ledger technology', 'genomics', 'health equity', 'iIndigenous health']
10.1371/journal.pone.0271829;Association of compassion and empathy with prosocial health behaviors and;20220728;['Adult', 'Aged', '*Biological Evolution', 'Female', 'Humans', 'Life Expectancy', '*Longevity', 'Middle Aged', 'Reproduction', 'Selection, Genetic', 'force of selection', 'human evolution', 'intergenerational transfers', 'life history theory', 'postreproductive lifespan']
10.1097/PHH.0000000000001519;Learning to Lead: 3 Models to Support Public Health Leadership Development.;20220726;"['Adult', 'Altruism', 'Attitude', '*COVID-19/epidemiology', 'Empathy', 'Health Behavior', 'Humans', '*Pandemics/prevention &amp; control', 'SARS-CoV-2']"
10.1007/s10493-022-00733-8;Transovarial toxicity matters: lethal and sublethal effects of hexythiazox on the;20220722;['Humans', '*Leadership', 'Learning', '*Public Health', 'Workforce']
10.7189/jogh.12.11005;The association between self-rated health and all-cause mortality and explanatory;20220725;['Hexythiazox', 'Life tables', 'Sublethal effects', 'Tetranychus urticae', 'Toxicity']
10.1002/adma.202202163;Halide Remixing Under Device Operation Imparts Stability on Mixed-Cation;20220722;['*Activities of Daily Living', 'Aged, 80 and over', 'China/epidemiology', '*Health Status', 'Humans', 'Longitudinal Studies', 'Male', 'Mortality', 'Proportional Hazards Models']
10.1111/jocd.15251;Influence of COVID-19 mRNA vaccination on the efficacy and safety of Botulinum;20220722;['diffraction', 'electrostriction', 'perovskite', 'photosegregation', 'photovoltaics']
10.3389/fmicb.2022.703183;Microbiome Heritability and Its Role in Adaptation of Hosts to Novel Resources.;20220723;['Botox', 'Botutlinum toxin', 'COVID -19', 'Vaccine']
10.3389/fnagi.2022.893444;Reduced Insulin Signaling Targeted to Serotonergic Neurons but Not Other Neuronal;20220723;['Tetranychus urticae', 'bacterial communities', 'endosymbionts', 'local adaptation', 'spider mites']
10.3389/fpsyg.2022.970345;Editorial: Psycho-Behavioral Factors and Longevity.;20220722;['Drosophila', 'ageing', 'behavioral senescence', 'insulin/IGF-like signaling', 'serotonergic neurons']
10.18699/VJGB-22-45;Hereditary predisposition of water voles (Arvicola amphibius L.) to seizures in;20220722;['age views', 'aging', 'emotion', 'intelligence', 'longevity', 'personality', 'psycho-behavioral factors', 'social relations']
10.1186/s12905-022-01886-9;Effectiveness of resilience training intervention on psychological capital of the;20220727;['age', 'hereditary predisposition', 'life span', 'population cycle', 'seizures', 'water vole']
10.1007/s00394-022-02957-1;Oligosaccharides from agar extends lifespan through activation of unfolded;20220721;['AD  - Research Center for Health Sciences, Institute of Health, Department of Health', 'Family Characteristics', 'Female', 'Humans', 'Iran', 'Surveys and Questionnaires', 'Vulnerable Populations', '*Widowhood', '*Psychological capital', '*Resilience', '*Training', '*Widowed women']
10.1242/jeb.244077;Dual spring force couples yield multifunctionality and ultrafast, precision;20220725;['ER stress', 'Healthspan', 'Longevity', 'Nematode', 'Oligosaccharide', 'Sir-2.1']
10.1016/j.yhbeh.2022.105226;The relative speed of the glucocorticoid stress response varies independently of;20220725;['Animals', '*Ants/physiology', 'Biomechanical Phenomena', 'Mandible/physiology', 'Movement/physiology', 'Biomechanics', 'Control', 'Dynamics', 'Elastic recoil', 'Fast movement', 'Springs', 'Trap-jaw ants']
10.1128/jvi.00760-22;Persistent Maintenance of Intermediate Memory B Cells Following SARS-CoV-2;20220721;['Comparative physiology', 'Corticosterone', 'Evolutionary endocrinology', 'Stress']
10.1128/jvi.00689-22;A Virion-Based Combination Vaccine Protects against Influenza and SARS-CoV-2;20220721;['CD4+ T cell', 'COVID-19', 'SARS-CoV-2', 'antibody', 'immunity', 'immunization', 'kinetics', 'longevity', 'longitudinal', 'memory B cells', 'neutralization', 'recovered', 'spike', 'vaccination']
